,OS: Windows 11 | Browser: Chrome 142 | Resolution: 1536x816 | Time: 13 Nov 2025 / 14:53:27  GMT-6

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website","https://testing.geekqa.net/public_html/public/index.php/SignUp","","",""
"2","Scroll down","","","",""
"3","Scroll up","","","",""
"4","Scroll down","","","",""
"5","Scroll up","","","",""
"6","Enter ""87106140"" into ""Phone Number""","87106140","","//form[@class='mt-4']//input[@placeholder='Phone Number']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(2) > input:nth-child(1)"
"7","Enter ""ricardo"" into ""First Name""","ricardo","","//form[@class='mt-4']//input[@placeholder='First Name']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(3) > input:nth-child(1)"
"8","Enter ""charpentier"" into ""Last Name""","charpentier","","//form[@class='mt-4']//input[@placeholder='Last Name']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(4) > input:nth-child(1)"
"9","Click on ""Checkout as Guest""","","","//button[normalize-space()='Checkout as Guest']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > button:nth-child(6)"
"10","Click on ""Home""","","","//a[normalize-space()='Home']","body > header:nth-child(1) > nav:nth-child(1) > div:nth-child(3) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1)"
"11","Scroll down","","","",""
"12","Click on ""Add to Cart""","","","//div[@class='row popular-item-list']//div[1]//div[1]//a[1]//div[1]","body > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > div:nth-child(1) > a:nth-child(2) > div:nth-child(4)"
"13","Click on ""Close""","","","//button[@id='addtocart-close']","#addtocart-close"
"14","Scroll up","","","//button[contains(text(),'Close')]","button[id='addtocart-close']"
"15","Click on ""seach_result""","","","//div[@class='col-lg-9 col-md-9']//ul[@id='seach_result']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > ul:nth-child(1)"
"16","Click on ""seach_result""","","","//div[@class='col-lg-9 col-md-9']//ul[@id='seach_result']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > ul:nth-child(1)"
"17","Click on ""Phones""","","","//h5[normalize-space()='Phones']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"18","Scroll down","","","//h5[contains(text(),'Phones')]","h5"
"19","Click on ""Add to Cart""","","","//div[@class='row popular-item-list']//div[1]//div[1]//a[1]//div[1]","body > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > a:nth-child(2) > div:nth-child(4)"
"20","Click on ""Add to cart""","","","//button[@id='addtocart-submit']","#addtocart-submit"
"21","Scroll up","","","//button[contains(text(),'Add to cart')]","button[id='addtocart-submit']"
"22","Scroll down","","","",""
"23","Scroll up","","","",""
"24","Scroll down","","","",""
"25","Scroll down","","","",""
"26","Click on ""Login""","","","//a[normalize-space()='Login']","body > header:nth-child(1) > nav:nth-child(1) > div:nth-child(3) > ul:nth-child(1) > li:nth-child(4) > a:nth-child(1)"
"27","Scroll down","","","",""
"28","Scroll up","","","",""
"29","Scroll down","","","",""
"30","Click on ""Login Already have an account? ""","","","//form[@class='mb-4']",".mb-4"
"31","Enter ""ricarcharpentierq@gmail.com"" into ""Email""","ricarcharpentierq@gmail.com","","//input[@id='email']","#email"
"32","Enter ""87106140"" into ""Phone Number""","87106140","","//form[@class='mt-4']//input[@placeholder='Phone Number']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(2) > input:nth-child(1)"
"33","Enter ""ricardo"" into ""First Name""","ricardo","","//form[@class='mt-4']//input[@placeholder='First Name']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(3) > input:nth-child(1)"
"34","Enter ""charpentier"" into ""Last Name""","charpentier","","//form[@class='mt-4']//input[@placeholder='Last Name']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > div:nth-child(4) > input:nth-child(1)"
"35","Click on ""Checkout as Guest""","","","//button[normalize-space()='Checkout as Guest']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(3) > button:nth-child(6)"
"36","Scroll down","","","",""
"37","Scroll up","","","",""
"38","Scroll down","","","",""
"39","Scroll up","","","",""
